Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
APR18650M-A1;1100;30;40;0.988;65.0;0.018461538;13.2;0.203076923;74;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;40;0.981;105.0;0.018095238;20.9;0.199047619;73;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;40;0.974;140.0;0.018571429;28.6;0.204285714;75;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;90;0.991;30.0;0.03;9.9;0.33;120;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;90;0.983;65.0;0.026153846;18.7;0.287692308;105;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;90;0.977;105.0;0.021904762;25.3;0.240952381;88;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;90;0.970;140.0;0.021428571;33;0.235714286;86;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;95;0.988;30.0;0.04;13.2;0.44;161;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;95;0.979;65.0;0.032307692;23.1;0.355384615;130;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;95;0.970;105.0;0.028571429;33;0.314285714;115;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;95;0.963;140.0;0.026428571;40.7;0.290714286;106;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
NCR18650B;3200;30;28;1,036;35.0;-2957.142857;-3312000;-94628.57143;-34,539,429;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;28;1,027;65.0;-1578.461538;-3283200;-50510.76923;-18,436,431;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;28;1,019;105.0;-969.5238095;-3257600;-31024.7619;-11,324,038;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;28;1,011;140.0;-721.4285714;-3232000;-23085.71429;-8,426,286;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;45;1,015;30.0;-3380;-3244800;-108160;-39,478,400;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;45;1,006;65.0;-1546.153846;-3216000;-49476.92308;-18,059,077;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;45;0.999;105.0;0.000952381;3.2;0.03047619;11;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;45;0.994;140.0;0.004285714;19.2;0.137142857;50;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
